date,year,month,nominal_fed_mw,real_fed_mw
2012 Aug,2012,8,7.25,9.64
2012 Sep,2012,9,7.25,9.6
2012 Oct,2012,10,7.25,9.57
2012 Nov,2012,11,7.25,9.59
2012 Dec,2012,12,7.25,9.59
2013 Jan,2013,1,7.25,9.57
2013 Feb,2013,2,7.25,9.51
2013 Mar,2013,3,7.25,9.54
2013 Apr,2013,4,7.25,9.56
2013 May,2013,5,7.25,9.56
2013 Jun,2013,6,7.25,9.53
2013 Jul,2013,7,7.25,9.52
2013 Aug,2013,8,7.25,9.49
2013 Sep,2013,9,7.25,9.49
2013 Oct,2013,10,7.25,9.48
2013 Nov,2013,11,7.25,9.47
2013 Dec,2013,12,7.25,9.44
2014 Jan,2014,1,7.25,9.42
2014 Feb,2014,2,7.25,9.4
2014 Mar,2014,3,7.25,9.39
2014 Apr,2014,4,7.25,9.37
2014 May,2014,5,7.25,9.35
2014 Jun,2014,6,7.25,9.34
2014 Jul,2014,7,7.25,9.33
2014 Aug,2014,8,7.25,9.33
2014 Sep,2014,9,7.25,9.33
2014 Oct,2014,10,7.25,9.33
2014 Nov,2014,11,7.25,9.35
2014 Dec,2014,12,7.25,9.38
2015 Jan,2015,1,7.25,9.43
2015 Feb,2015,2,7.25,9.41
2015 Mar,2015,3,7.25,9.38
2015 Apr,2015,4,7.25,9.37
2015 May,2015,5,7.25,9.34
2015 Jun,2015,6,7.25,9.31
2015 Jul,2015,7,7.25,9.3
2015 Aug,2015,8,7.25,9.3
2015 Sep,2015,9,7.25,9.32
2015 Oct,2015,10,7.25,9.31
2015 Nov,2015,11,7.25,9.3
2015 Dec,2015,12,7.25,9.31
2016 Jan,2016,1,7.25,9.31
2016 Feb,2016,2,7.25,9.33
2016 Mar,2016,3,7.25,9.3
2016 Apr,2016,4,7.25,9.26
2016 May,2016,5,7.25,9.24
2016 Jun,2016,6,7.25,9.22
2016 Jul,2016,7,7.25,9.22
2016 Aug,2016,8,7.25,9.2
2016 Sep,2016,9,7.25,9.18
2016 Oct,2016,10,7.25,9.16
2016 Nov,2016,11,7.25,9.15
2016 Dec,2016,12,7.25,9.12
2017 Jan,2017,1,7.25,9.09
2017 Feb,2017,2,7.25,9.07
2017 Mar,2017,3,7.25,9.08
2017 Apr,2017,4,7.25,9.06
2017 May,2017,5,7.25,9.07
2017 Jun,2017,6,7.25,9.07
2017 Jul,2017,7,7.25,9.06
2017 Aug,2017,8,7.25,9.03
2017 Sep,2017,9,7.25,8.98
2017 Oct,2017,10,7.25,8.98
2017 Nov,2017,11,7.25,8.95
2017 Dec,2017,12,7.25,8.93
2018 Jan,2018,1,7.25,8.89
2018 Feb,2018,2,7.25,8.87
2018 Mar,2018,3,7.25,8.87
2018 Apr,2018,4,7.25,8.84
2018 May,2018,5,7.25,8.83
2018 Jun,2018,6,7.25,8.82
2018 Jul,2018,7,7.25,8.81
2018 Aug,2018,8,7.25,8.79
2018 Sep,2018,9,7.25,8.78
2018 Oct,2018,10,7.25,8.75
2018 Nov,2018,11,7.25,8.76
2018 Dec,2018,12,7.25,8.76
2019 Jan,2019,1,7.25,8.76
2019 Feb,2019,2,7.25,8.74
2019 Mar,2019,3,7.25,8.71
2019 Apr,2019,4,7.25,8.67
2019 May,2019,5,7.25,8.67
2019 Jun,2019,6,7.25,8.67
2019 Jul,2019,7,7.25,8.65
2019 Aug,2019,8,7.25,8.64
2019 Sep,2019,9,7.25,8.63
2019 Oct,2019,10,7.25,8.6
2019 Nov,2019,11,7.25,8.58
2019 Dec,2019,12,7.25,8.56
2020 Jan,2020,1,7.25,8.54
2020 Feb,2020,2,7.25,8.54
2020 Mar,2020,3,7.25,8.57
2020 Apr,2020,4,7.25,8.63
2020 May,2020,5,7.25,8.64
2020 Jun,2020,6,7.25,8.6
2020 Jul,2020,7,7.25,8.56
2020 Aug,2020,8,7.25,8.52
2020 Sep,2020,9,7.25,8.5
2020 Oct,2020,10,7.25,8.49
2020 Nov,2020,11,7.25,8.48
2020 Dec,2020,12,7.25,8.44
2021 Jan,2021,1,7.25,8.42
2021 Feb,2021,2,7.25,8.38
2021 Mar,2021,3,7.25,8.34
2021 Apr,2021,4,7.25,8.29
2021 May,2021,5,7.25,8.22
2021 Jun,2021,6,7.25,8.16
2021 Jul,2021,7,7.25,8.12
2021 Aug,2021,8,7.25,8.09
2021 Sep,2021,9,7.25,8.06
2021 Oct,2021,10,7.25,7.98
2021 Nov,2021,11,7.25,7.92
2021 Dec,2021,12,7.25,7.86
2022 Jan,2022,1,7.25,7.81
2022 Feb,2022,2,7.25,7.75
2022 Mar,2022,3,7.25,7.68
2022 Apr,2022,4,7.25,7.64
2022 May,2022,5,7.25,7.57
2022 Jun,2022,6,7.25,7.49
2022 Jul,2022,7,7.25,7.49
2022 Aug,2022,8,7.25,7.47
2022 Sep,2022,9,7.25,7.44
2022 Oct,2022,10,7.25,7.4
2022 Nov,2022,11,7.25,7.39
2022 Dec,2022,12,7.25,7.38
2023 Jan,2023,1,7.25,7.34
2023 Feb,2023,2,7.25,7.31
2023 Mar,2023,3,7.25,7.31
2023 Apr,2023,4,7.25,7.28
2023 May,2023,5,7.25,7.28
2023 Jun,2023,6,7.25,7.26
2023 Jul,2023,7,7.25,7.25
